100.0,50.0,250.0,200.0,0,0,0
100.0,50.0,250.0,200.0,0,92,255
308.3363,258.3363,306.56854,221.2132,36,96,218
302.64444,138.80658,278.98074,167.46458,72,100,182
226.45163,231.08017,263.23877,225.79288,109,104,145
344.89963,214.05603,314.12274,193.22261,145,108,109
245.80353,146.97614,254.56252,183.09442,182,112,72
274.0059,263.2705,291.82053,230.65321,218,116,36
274.0059,263.2705,243.22896,242.43706,218,116,36
245.80353,146.97614,282.59067,141.68884,182,112,72
364.25153,129.952,333.47464,109.118576,218,116,36
364.25153,129.952,340.58786,158.61,218,116,36
344.89963,214.05603,321.23596,242.71404,145,108,109
268.70688,306.32965,305.49405,301.04236,182,112,72
387.1549,289.3055,356.37802,268.47208,218,116,36
387.1549,289.3055,363.49124,317.96353,218,116,36
268.70688,306.32965,266.93912,269.20654,182,112,72
263.015,186.79993,239.35132,215.45793,218,116,36
263.015,186.79993,289.29474,213.07967,218,116,36
226.45163,231.08017,224.68388,193.95706,109,104,145
220.75981,111.55044,197.09612,140.20844,145,108,109
144.56699,203.824,181.35414,198.53674,182,112,72
263.015,186.79997,232.23813,165.96652,218,116,36
263.015,186.79997,239.35132,215.45795,218,116,36
144.56699,203.824,142.79924,166.7009,182,112,72
138.87517,84.29427,115.21148,112.95226,218,116,36
138.87517,84.29427,165.15489,110.57403,218,116,36
220.75981,111.55044,247.03954,137.8302,145,108,109
305.3758,196.16656,303.60806,159.04344,182,112,72
299.68402,76.63682,276.02032,105.29479,218,116,36
299.68402,76.63682,325.96375,102.91659,218,116,36
305.3758,196.16656,268.25272,194.39876,182,112,72
185.8461,190.47455,212.12581,216.7543,218,116,36
185.8461,190.47455,214.50414,166.81091,218,116,36
302.64444,138.80658,328.92416,165.08632,72,100,182
387.26047,223.42265,385.4927,186.29953,109,104,145
381.5686,103.89291,357.90494,132.5509,145,108,109
305.37585,196.16652,342.16302,190.87921,182,112,72
423.82388,179.14235,393.04697,158.30891,218,116,36
423.82388,179.14235,400.16025,207.80034,218,116,36
305.37585,196.16652,303.6081,159.0434,182,112,72
299.684,76.63677,276.0203,105.29478,218,116,36
299.684,76.63677,325.9637,102.91651,218,116,36
381.5686,103.89291,407.84836,130.17267,145,108,109
466.18466,188.50899,464.4169,151.3859,182,112,72
460.4928,68.97927,436.8291,97.637276,218,116,36
460.4928,68.97927,486.77252,95.25901,218,116,36
466.18466,188.50899,429.06155,186.74121,182,112,72
346.65494,182.81706,372.93466,209.09682,218,116,36
346.65494,182.81706,375.31296,159.1534,218,116,36
387.26047,223.42265,350.13736,221.65488,109,104,145
267.73074,217.73073,294.01047,244.01048,145,108,109
